,stature,weightkg,waistcircumference,buttockcircumference
436,165.0,98.30000000000001,1154,1195
437,153.70000000000002,53.5,814,955
438,156.8,58.1,801,973
439,156.9,68.4,830,1004
440,171.10000000000002,72.5,807,1036
441,163.9,75.7,1073,1060
442,163.8,73.3,946,1075
443,175.60000000000002,70.4,845,1053
444,161.8,59.0,748,966
445,174.5,83.5,1003,1114
446,156.9,63.5,814,1043
447,166.8,54.6,782,925
448,161.9,61.0,780,990
449,165.70000000000002,82.0,1016,1103
450,162.8,68.5,847,1017
451,166.0,57.400000000000006,803,945
452,168.3,61.6,733,953
453,167.20000000000002,67.8,866,1017
454,162.3,55.800000000000004,745,937
455,167.20000000000002,58.800000000000004,705,917
456,161.9,59.1,784,984
457,155.8,51.1,712,948
458,164.9,59.1,742,951
459,173.0,67.10000000000001,805,1022
460,152.70000000000002,52.2,730,917
461,167.0,56.5,761,940
462,158.3,77.4,1000,1084
463,164.3,73.0,885,1038
464,171.70000000000002,66.9,800,1020
465,162.3,71.8,945,1098
466,163.0,59.400000000000006,810,964
467,171.0,68.0,808,995
468,173.0,77.9,961,1102
469,172.5,69.5,772,1044
470,168.0,75.5,928,1075
471,168.20000000000002,64.5,889,1011
472,168.0,84.30000000000001,1050,1045
473,182.9,68.8,777,997
474,167.5,64.3,866,1012
475,172.70000000000002,68.9,842,1006
476,161.5,65.10000000000001,842,956
477,149.70000000000002,46.0,690,850
478,161.3,61.0,750,1037
479,177.10000000000002,92.5,950,1137
480,158.8,66.60000000000001,829,1010
481,173.60000000000002,82.10000000000001,995,1075
482,166.4,59.1,767,1014
483,158.4,72.2,898,1086
484,171.20000000000002,77.0,940,1097
485,165.8,61.7,787,978
486,164.60000000000002,68.5,812,1056
487,172.3,68.9,820,1026
488,157.8,58.7,813,1002
489,167.10000000000002,74.2,845,1059
490,158.0,82.0,1011,1136
491,158.4,55.7,758,967
492,167.0,64.8,814,928
493,158.5,56.6,770,946
494,163.8,58.400000000000006,809,944
495,158.9,59.900000000000006,817,1013
496,165.9,78.5,938,1060
497,155.0,65.4,845,1015
498,173.0,83.80000000000001,995,1068
499,150.0,64.4,907,1074
500,161.5,80.9,983,1062
501,164.5,67.7,801,1042
502,172.70000000000002,84.7,1029,1096
503,166.70000000000002,78.10000000000001,1052,1096
504,151.9,55.2,848,901
505,170.0,83.2,955,1054
506,162.8,69.4,807,1069
507,160.0,78.60000000000001,855,1102
508,174.70000000000002,85.10000000000001,969,1082
509,158.3,67.8,900,1061
510,166.20000000000002,64.5,800,990
511,169.70000000000002,61.800000000000004,720,952
512,173.20000000000002,84.30000000000001,942,1051
513,164.70000000000002,79.30000000000001,1015,1106
514,158.9,72.7,1019,1035
515,154.5,64.5,829,1029
516,165.9,75.5,937,1053
517,152.20000000000002,55.5,885,950
518,165.10000000000002,77.9,816,1085
519,176.70000000000002,76.3,922,1059
520,160.8,78.5,965,1116
521,160.5,71.7,931,1086
522,173.4,67.4,895,1003
523,166.10000000000002,73.0,829,1105
524,158.9,75.4,980,1137
525,174.10000000000002,77.60000000000001,800,1076
526,167.0,81.0,1012,1085
527,168.0,66.7,801,1030
528,173.60000000000002,79.10000000000001,915,1130
529,168.20000000000002,76.3,937,1058
530,171.4,65.0,811,997
531,154.60000000000002,51.300000000000004,691,888
532,163.4,59.1,813,953
533,156.8,65.8,890,1032
534,153.60000000000002,50.400000000000006,782,915
535,158.4,68.5,927,1028
536,164.60000000000002,62.900000000000006,874,981
537,166.4,56.800000000000004,765,935
538,165.8,66.10000000000001,800,965
539,173.8,68.3,734,1003
540,174.5,79.10000000000001,775,1065
541,159.5,90.7,1061,1220
542,162.5,78.30000000000001,926,1097
543,162.3,70.9,865,1057
544,151.8,50.900000000000006,752,915
545,152.5,62.300000000000004,877,990
546,155.70000000000002,66.4,900,1053
547,173.0,92.10000000000001,1054,1113
548,160.10000000000002,67.10000000000001,903,1035
549,159.70000000000002,54.7,728,938
550,174.3,78.4,947,1034
551,168.3,59.0,754,960
552,175.20000000000002,76.3,921,1005
553,161.8,70.9,851,1075
554,162.0,70.3,851,1040
555,164.9,58.1,790,949
556,170.9,59.300000000000004,764,922
557,158.70000000000002,75.3,992,1059
558,163.20000000000002,66.2,816,955
559,152.70000000000002,68.3,965,1027
560,166.0,75.8,975,1021
561,163.20000000000002,61.300000000000004,734,980
562,174.20000000000002,73.0,820,1034
563,170.9,70.0,848,1031
564,161.9,75.10000000000001,925,1033
565,167.5,73.8,927,1009
566,163.4,64.2,837,1004
567,167.9,59.5,802,980
568,161.4,56.900000000000006,846,945
569,168.4,59.6,778,983
570,159.70000000000002,63.1,853,968
571,161.0,58.900000000000006,730,957
572,168.8,74.60000000000001,886,1100
573,172.5,86.4,929,1157
574,160.9,60.800000000000004,900,946
575,158.5,50.400000000000006,759,906
576,156.20000000000002,54.900000000000006,816,956
577,154.70000000000002,53.0,770,916
578,161.10000000000002,69.2,895,1036
579,174.0,71.3,880,991
580,155.5,70.5,904,1079
581,165.0,69.9,938,1023
582,158.3,65.9,906,1030
583,164.70000000000002,63.2,750,1005
584,153.20000000000002,69.60000000000001,845,1061
585,161.9,59.300000000000004,811,972
586,170.4,69.5,888,1008
